19:50:53 INFO  | ============================================================
19:50:53 INFO  | 📈 PAPER TRADING BOT
19:50:53 INFO  | ============================================================
19:50:53 INFO  | Coins: BTC, ETH, SOL, XRP
19:50:53 INFO  | Data: /root/bookpoly/data/raw/books
19:50:53 INFO  | 
19:50:53 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:50:53 INFO  |   Bankroll: $100
19:50:53 INFO  |   Size/trade: $5 (fixo)
19:50:53 INFO  |   Max trades/dia: 20
19:50:53 INFO  |   Max perda/dia: $25
19:50:53 INFO  |   Max posições: 3
19:50:53 INFO  |   Time Gate: 30s-240s
19:50:53 INFO  |   Spread Gate: ≤10%
19:50:53 INFO  |   Volatility Gate: ≤100%
19:50:53 INFO  |   Min Depth: $300
19:50:53 INFO  |   Forced Entry: prob≥95% + ≤2min
19:50:53 INFO  | ============================================================
19:51:12 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$76704 vol=42% | persist=0s remain=529s | ○ NO_ENTER
19:51:12 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26246 vol=55% | persist=0s remain=529s | ○ NO_ENTER
19:51:12 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.40 | spread=1.6% depth=$15504 vol=71% | persist=0s remain=529s | ○ NO_ENTER
19:51:12 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.40 | spread=1.6% depth=$10802 vol=51% | persist=0s remain=529s | ○ NO_ENTER
19:51:13 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$76930 vol=42% | persist=0s remain=528s | ○ NO_ENTER
19:51:13 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26380 vol=55% | persist=0s remain=528s | ○ NO_ENTER
19:51:13 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$15441 vol=71% | persist=0s remain=528s | ○ NO_ENTER
19:51:13 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.38 | spread=1.6% depth=$10796 vol=51% | persist=0s remain=528s | ○ NO_ENTER
19:51:14 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$77044 vol=42% | persist=0s remain=527s | ○ NO_ENTER
19:51:14 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26558 vol=55% | persist=0s remain=527s | ○ NO_ENTER
19:51:14 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$15516 vol=71% | persist=0s remain=527s | ○ NO_ENTER
19:51:14 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.38 | spread=1.6% depth=$10869 vol=51% | persist=0s remain=527s | ○ NO_ENTER
19:51:15 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$76767 vol=42% | persist=0s remain=526s | ○ NO_ENTER
19:51:15 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26413 vol=55% | persist=0s remain=526s | ○ NO_ENTER
19:51:15 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$15492 vol=71% | persist=0s remain=526s | ○ NO_ENTER
19:51:15 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.39 | spread=1.6% depth=$10836 vol=51% | persist=0s remain=526s | ○ NO_ENTER
19:51:16 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$76911 vol=42% | persist=0s remain=525s | ○ NO_ENTER
19:51:16 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26423 vol=55% | persist=0s remain=525s | ○ NO_ENTER
19:51:16 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$15778 vol=71% | persist=0s remain=525s | ○ NO_ENTER
19:51:16 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.41 | spread=1.6% depth=$10919 vol=51% | persist=0s remain=525s | ○ NO_ENTER
19:51:17 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$76803 vol=42% | persist=0s remain=524s | ○ NO_ENTER
19:51:17 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.43 | spread=1.9% depth=$26621 vol=55% | persist=0s remain=524s | ○ NO_ENTER
19:51:17 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=62.5% zone=neutral score=0.39 | spread=1.6% depth=$15772 vol=71% | persist=0s remain=524s | ○ NO_ENTER
19:51:17 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=64.5% zone=neutral score=0.41 | spread=1.6% depth=$10811 vol=51% | persist=0s remain=524s | ○ NO_ENTER
19:51:18 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=73.5% zone=neutral score=0.53 | spread=1.4% depth=$75989 vol=42% | persist=0s remain=523s | ○ NO_ENTER
