window_start,market,entry_ts,side,prob_at_entry,prob_favorite,entry_price,remaining_s,spread,spread_pct,bid_depth,ask_depth,total_depth,imbalance,latency_ms,outcome,won,pnl
2026-02-05T14:00:00,XRP15m,2026-02-05T14:11:00.600000,DOWN,0.0100,0.9900,0.9900,239.4,0.0000,0.00,0,3205,3205,-1.0000,232,DOWN,YES,+0.0100
2026-02-05T14:15:00,XRP15m,2026-02-05T14:26:02.118000,UP,0.9850,0.9850,0.9850,237.9,0.0100,1.02,2497,2026,4523,0.1042,176,UP,YES,+0.0150
2026-02-05T14:30:00,XRP15m,2026-02-05T14:42:45.167000,DOWN,0.0300,0.9700,0.9700,134.8,0.0200,2.06,3769,3912,7681,-0.0186,196,DOWN,YES,+0.0300
2026-02-05T14:45:00,XRP15m,2026-02-05T14:57:32.710000,DOWN,0.0250,0.9750,0.9750,147.3,0.0100,1.03,3102,3903,7005,-0.1144,173,DOWN,YES,+0.0250
2026-02-05T15:15:00,XRP15m,2026-02-05T15:27:01.231000,DOWN,0.0150,0.9850,0.9850,178.8,0.0100,1.02,2292,2602,4894,-0.0632,194,DOWN,YES,+0.0150
2026-02-05T15:45:00,XRP15m,2026-02-05T15:56:00.982000,UP,0.9850,0.9850,0.9850,239.0,0.0100,1.02,2811,2615,5426,0.0362,238,UP,YES,+0.0150
2026-02-05T16:00:00,XRP15m,2026-02-05T16:11:00.219000,DOWN,0.0250,0.9750,0.9750,239.8,0.0100,1.03,1510,3335,4845,-0.3766,162,DOWN,YES,+0.0250
2026-02-05T16:15:00,XRP15m,2026-02-05T16:26:14.130000,DOWN,0.0250,0.9750,0.9750,225.9,0.0100,1.03,4133,4153,8286,-0.0025,182,DOWN,YES,+0.0250
2026-02-05T16:30:00,XRP15m,2026-02-05T16:43:26.294000,DOWN,0.0350,0.9650,0.9650,93.7,0.0300,3.11,3167,3898,7065,-0.1035,178,DOWN,YES,+0.0350
2026-02-05T16:45:00,XRP15m,2026-02-05T16:58:32.958000,DOWN,0.0105,0.9895,0.9895,87.0,0.0010,0.10,2036,2111,4147,-0.0180,233,DOWN,YES,+0.0105
2026-02-05T17:00:00,XRP15m,2026-02-05T17:12:22.088000,DOWN,0.0350,0.9650,0.9650,157.9,0.0100,1.04,4229,4956,9186,-0.0792,189,DOWN,YES,+0.0350
2026-02-05T17:15:00,XRP15m,2026-02-05T17:26:00.013000,DOWN,0.0015,0.9985,0.9985,240.0,0.0010,0.10,335,3795,4130,-0.8378,277,DOWN,YES,+0.0015
2026-02-05T17:30:00,XRP15m,2026-02-05T17:41:00.283000,UP,0.9850,0.9850,0.9850,239.7,0.0100,1.02,2415,2072,4487,0.0764,193,UP,YES,+0.0150
2026-02-05T17:45:00,XRP15m,2026-02-05T17:59:22.900000,DOWN,0.0500,0.9500,0.9500,37.1,0.0200,2.11,3223,3346,6568,-0.0187,188,DOWN,YES,+0.0500
2026-02-05T18:00:00,XRP15m,2026-02-05T18:12:01.942000,DOWN,0.0350,0.9650,0.9650,178.1,0.0100,1.04,3095,3577,6672,-0.0722,272,DOWN,YES,+0.0350
2026-02-05T18:15:00,XRP15m,2026-02-05T18:29:12.859000,UP,0.9750,0.9750,0.9750,47.1,0.0100,1.03,3637,3432,7069,0.0290,253,UP,YES,+0.0250
2026-02-05T18:30:00,XRP15m,2026-02-05T18:44:19.785000,DOWN,0.0150,0.9850,0.9850,40.2,0.0100,1.02,2221,2414,4635,-0.0416,191,DOWN,YES,+0.0150
2026-02-05T18:45:00,XRP15m,2026-02-05T18:57:05.407000,DOWN,0.0250,0.9750,0.9750,174.6,0.0300,3.08,1735,2220,3955,-0.1227,192,DOWN,YES,+0.0250
2026-02-05T19:00:00,XRP15m,2026-02-05T19:11:00.080000,UP,0.9700,0.9700,0.9700,239.9,0.0200,2.06,3750,2714,6464,0.1603,177,UP,YES,+0.0300
2026-02-05T19:15:00,XRP15m,2026-02-05T19:26:00.515000,DOWN,0.0200,0.9800,0.9800,239.5,0.0000,0.00,0,3309,3309,-1.0000,210,UP,NO,-0.9800
2026-02-05T19:30:00,XRP15m,2026-02-05T19:44:11.087000,UP,0.9850,0.9850,0.9850,48.9,0.0100,1.02,2576,1462,4038,0.2760,203,UP,YES,+0.0150
2026-02-05T19:45:00,XRP15m,2026-02-05T19:57:59.260000,UP,0.9850,0.9850,0.9850,120.7,0.0100,1.02,2666,1234,3900,0.3671,195,UP,YES,+0.0150
2026-02-05T20:00:00,XRP15m,2026-02-05T20:12:12.021000,UP,0.9895,0.9895,0.9895,168.0,0.0010,0.10,2421,2333,4754,0.0185,216,UP,YES,+0.0105
2026-02-05T20:15:00,XRP15m,2026-02-05T20:26:20.570000,DOWN,0.0450,0.9550,0.9550,219.4,0.0100,1.05,2021,2028,4049,-0.0015,217,DOWN,YES,+0.0450
2026-02-05T20:30:00,XRP15m,2026-02-05T20:41:16.419000,DOWN,0.0250,0.9750,0.9750,223.6,0.0100,1.03,2663,2668,5331,-0.0011,278,DOWN,YES,+0.0250
2026-02-05T20:45:00,XRP15m,2026-02-05T20:58:43.505000,DOWN,0.0150,0.9850,0.9850,76.5,0.0100,1.02,1897,2275,4172,-0.0905,190,DOWN,YES,+0.0150
2026-02-05T21:00:00,XRP15m,2026-02-05T21:11:00.346000,DOWN,0.0030,0.9970,0.9970,239.7,0.0020,0.20,689,1847,2536,-0.4565,405,DOWN,YES,+0.0030
2026-02-05T21:30:00,XRP15m,2026-02-05T21:41:00.432000,UP,0.9970,0.9970,0.9970,239.6,0.0020,0.20,3136,501,3637,0.7245,176,UP,YES,+0.0030
2026-02-05T22:00:00,XRP15m,2026-02-05T22:11:25.856000,UP,0.9850,0.9850,0.9850,214.1,0.0100,1.02,2670,2026,4696,0.1373,202,UP,YES,+0.0150
2026-02-05T22:15:00,XRP15m,2026-02-05T22:27:31.369000,UP,0.9750,0.9750,0.9750,148.6,0.0300,3.08,2597,847,3444,0.5079,202,UP,YES,+0.0250
2026-02-05T22:30:00,XRP15m,2026-02-05T22:43:48.192000,UP,0.9850,0.9850,0.9850,71.8,0.0100,1.02,2705,2554,5258,0.0287,254,UP,YES,+0.0150
2026-02-05T22:45:00,XRP15m,2026-02-05T22:56:00.429000,UP,0.9940,0.9940,0.9940,239.6,0.0080,0.80,2945,733,3678,0.6014,196,UP,YES,+0.0060
2026-02-05T23:00:00,XRP15m,2026-02-05T23:12:56.924000,DOWN,0.0250,0.9750,0.9750,123.1,0.0100,1.03,2094,2357,4451,-0.0591,254,DOWN,YES,+0.0250
2026-02-05T23:15:00,XRP15m,2026-02-05T23:29:05.882000,DOWN,0.0105,0.9895,0.9895,54.1,0.0010,0.10,1761,1935,3696,-0.0470,166,DOWN,YES,+0.0105
2026-02-05T23:30:00,XRP15m,2026-02-05T23:41:00.520000,UP,0.9850,0.9850,0.9850,239.5,0.0100,1.02,3302,2771,6073,0.0875,165,UP,YES,+0.0150
2026-02-05T23:45:00,XRP15m,2026-02-05T23:56:35.670000,DOWN,0.0250,0.9750,0.9750,204.3,0.0100,1.03,3017,3043,6060,-0.0043,159,DOWN,YES,+0.0250
2026-02-06T00:15:00,XRP15m,2026-02-06T00:28:29.874000,UP,0.9700,0.9700,0.9700,90.1,0.0200,2.06,2845,2840,5685,0.0009,166,UP,YES,+0.0300
2026-02-06T01:00:00,XRP15m,2026-02-06T01:13:53.249000,UP,0.9750,0.9750,0.9750,66.8,0.0100,1.03,2575,2458,5033,0.0234,155,UP,YES,+0.0250
