window_start,market,side,entry_price,original_outcome,original_won,original_pnl,exit_triggered,exit_action,exit_reason,exit_price,defense_pnl,defense_saved,flip_triggered,flip_side,flip_pnl
2026-02-07T14:00:00,ETH15m,DOWN,0.9550,DOWN,YES,+0.0450,YES,FLIP,flip:4/5_signals,0.9850,+0.0300,,YES,UP,-0.4925
2026-02-07T14:15:00,ETH15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-07T14:30:00,ETH15m,UP,0.9925,UP,YES,+0.0075,NO,,,,,,NO,,
2026-02-04T23:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-04T23:30:00,SOL15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-04T23:45:00,SOL15m,DOWN,0.9975,DOWN,YES,+0.0025,NO,,,,,,NO,,
2026-02-05T00:00:00,SOL15m,UP,0.9550,DOWN,NO,-0.9550,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.399+prob_dropping:86%,0.8550,-0.1000,+0.8550,NO,,
2026-02-05T01:00:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T01:15:00,SOL15m,UP,0.9750,UP,YES,+0.0250,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.377+prob_dropping:80%,0.7950,-0.1800,,NO,,
2026-02-05T01:30:00,SOL15m,UP,0.9650,UP,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T01:45:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T02:00:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T02:15:00,SOL15m,DOWN,0.9895,DOWN,YES,+0.0105,NO,,,,,,NO,,
2026-02-05T02:30:00,SOL15m,UP,0.9935,UP,YES,+0.0065,NO,,,,,,NO,,
2026-02-05T02:45:00,SOL15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T03:00:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T03:15:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T03:30:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T04:00:00,SOL15m,UP,0.9795,UP,YES,+0.0205,NO,,,,,,NO,,
2026-02-05T04:15:00,SOL15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T04:30:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T04:45:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T05:00:00,SOL15m,UP,0.9930,UP,YES,+0.0070,NO,,,,,,NO,,
2026-02-05T05:15:00,SOL15m,UP,0.9650,UP,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T05:30:00,SOL15m,UP,0.9500,UP,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T06:00:00,SOL15m,UP,0.9900,UP,YES,+0.0100,NO,,,,,,NO,,
2026-02-05T06:15:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+0.391+prob_dropping:89%,0.8900,-0.0650,,NO,,
2026-02-05T06:30:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T06:45:00,SOL15m,UP,0.9500,UP,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T07:00:00,SOL15m,DOWN,0.9970,DOWN,YES,+0.0030,NO,,,,,,NO,,
2026-02-05T07:15:00,SOL15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T07:30:00,SOL15m,DOWN,0.9895,DOWN,YES,+0.0105,NO,,,,,,NO,,
2026-02-05T07:45:00,SOL15m,DOWN,0.9975,DOWN,YES,+0.0025,NO,,,,,,NO,,
2026-02-05T08:00:00,SOL15m,UP,0.9600,DOWN,NO,-0.9600,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.650+prob_dropping:88%,0.8850,-0.0750,+0.8850,NO,,
2026-02-05T08:15:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T08:30:00,SOL15m,UP,0.9985,UP,YES,+0.0015,NO,,,,,,NO,,
2026-02-05T08:45:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T09:15:00,SOL15m,DOWN,0.9855,DOWN,YES,+0.0145,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+1.035+prob_dropping:89%,0.8900,-0.0955,,NO,,
2026-02-05T09:30:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T09:45:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T10:00:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T10:15:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T11:00:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T11:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T11:30:00,SOL15m,UP,0.9600,UP,YES,+0.0400,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.416+prob_dropping:87%,0.8700,-0.0900,,NO,,
2026-02-05T11:45:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T12:00:00,SOL15m,DOWN,0.9855,DOWN,YES,+0.0145,NO,,,,,,NO,,
2026-02-05T12:15:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T12:30:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T12:45:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T13:00:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T13:15:00,SOL15m,UP,0.9900,UP,YES,+0.0100,NO,,,,,,NO,,
2026-02-05T13:30:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T13:45:00,SOL15m,UP,0.9900,UP,YES,+0.0100,NO,,,,,,NO,,
2026-02-05T14:00:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T14:30:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T14:45:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T15:00:00,SOL15m,UP,0.9500,UP,YES,+0.0500,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.405+prob_dropping:84%,0.8350,-0.1150,,NO,,
2026-02-05T15:15:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T15:30:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T15:45:00,SOL15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T16:00:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T16:15:00,SOL15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T16:45:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T17:00:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T17:15:00,SOL15m,DOWN,0.9935,DOWN,YES,+0.0065,NO,,,,,,NO,,
2026-02-05T17:30:00,SOL15m,UP,0.9500,UP,YES,+0.0500,YES,FLIP,flip:4/5_signals,0.9350,-0.0150,,YES,DOWN,-0.4675
2026-02-05T17:45:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+0.460+prob_dropping:86%,0.8550,-0.1100,,NO,,
2026-02-05T18:00:00,SOL15m,UP,0.9700,UP,YES,+0.0300,NO,,,,,,NO,,
2026-02-05T18:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T18:30:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T18:45:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T19:00:00,SOL15m,UP,0.9650,UP,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T19:15:00,SOL15m,DOWN,0.9900,UP,NO,-0.9900,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+1.659+prob_dropping:86%,0.8650,-0.1250,+0.8650,NO,,
2026-02-05T20:00:00,SOL15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T20:15:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T20:30:00,SOL15m,DOWN,0.9865,DOWN,YES,+0.0135,NO,,,,,,NO,,
2026-02-05T20:45:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
