timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
01:11:43,Feb 08 01:11:43,SOL15m,DOWN,0.0250,97.5%,197,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:44,Feb 08 01:11:44,BTC15m,DOWN,0.0250,97.5%,196,0.68,unknown,UP,NO,-5.00
01:11:44,Feb 08 01:11:44,ETH15m,DOWN,0.0250,97.5%,196,0.66,unknown,UP,NO,-5.00
01:11:44,Feb 08 01:11:44,SOL15m,DOWN,0.0250,97.5%,196,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:45,Feb 08 01:11:45,BTC15m,DOWN,0.0250,97.5%,195,0.68,unknown,UP,NO,-5.00
01:11:45,Feb 08 01:11:45,ETH15m,DOWN,0.0250,97.5%,195,0.66,unknown,UP,NO,-5.00
01:11:45,Feb 08 01:11:45,SOL15m,DOWN,0.0250,97.5%,195,0.65,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:46,Feb 08 01:11:46,BTC15m,DOWN,0.0250,97.5%,194,0.68,unknown,UP,NO,-5.00
01:11:46,Feb 08 01:11:46,ETH15m,DOWN,0.0250,97.5%,194,0.67,unknown,UP,NO,-5.00
01:11:46,Feb 08 01:11:46,SOL15m,DOWN,0.0250,97.5%,194,0.64,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:47,Feb 08 01:11:47,BTC15m,DOWN,0.0250,97.5%,193,0.70,unknown,UP,NO,-5.00
01:11:47,Feb 08 01:11:47,ETH15m,DOWN,0.0250,97.5%,193,0.67,unknown,UP,NO,-5.00
01:11:47,Feb 08 01:11:47,SOL15m,DOWN,0.0250,97.5%,193,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:48,Feb 08 01:11:48,BTC15m,DOWN,0.0250,97.5%,192,0.68,unknown,UP,NO,-5.00
01:11:48,Feb 08 01:11:48,ETH15m,DOWN,0.0250,97.5%,192,0.67,unknown,UP,NO,-5.00
01:11:48,Feb 08 01:11:48,SOL15m,DOWN,0.0250,97.5%,192,0.64,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:49,Feb 08 01:11:49,BTC15m,DOWN,0.0250,97.5%,191,0.69,unknown,UP,NO,-5.00
01:11:49,Feb 08 01:11:49,ETH15m,DOWN,0.0250,97.5%,191,0.66,unknown,UP,NO,-5.00
01:11:49,Feb 08 01:11:49,SOL15m,DOWN,0.0250,97.5%,191,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:50,Feb 08 01:11:50,BTC15m,DOWN,0.0250,97.5%,190,0.70,unknown,UP,NO,-5.00
01:11:50,Feb 08 01:11:50,ETH15m,DOWN,0.0250,97.5%,190,0.66,unknown,UP,NO,-5.00
01:11:50,Feb 08 01:11:50,SOL15m,DOWN,0.0250,97.5%,190,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:51,Feb 08 01:11:51,BTC15m,DOWN,0.0250,97.5%,189,0.69,unknown,UP,NO,-5.00
01:11:51,Feb 08 01:11:51,ETH15m,DOWN,0.0250,97.5%,189,0.66,unknown,UP,NO,-5.00
01:11:51,Feb 08 01:11:51,SOL15m,DOWN,0.0250,97.5%,189,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:52,Feb 08 01:11:52,BTC15m,DOWN,0.0250,97.5%,189,0.69,unknown,UP,NO,-5.00
01:11:52,Feb 08 01:11:52,ETH15m,DOWN,0.0250,97.5%,189,0.66,unknown,UP,NO,-5.00
01:11:52,Feb 08 01:11:52,SOL15m,DOWN,0.0250,97.5%,189,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:53,Feb 08 01:11:53,BTC15m,DOWN,0.0250,97.5%,187,0.69,unknown,UP,NO,-5.00
